filename,rows,columns,column_names,dtypes,missing_values,duplicate_rows,contains_timestamps,contains_sensor_measurements,contains_operating_conditions,contains_rpm_or_speed,contains_load,contains_labels,contains_fault_or_healthy_info,contains_experiment_or_run_ids
Run_1.csv,133328,3,"[""Column_1"", ""Column_2"", ""Column_3""]","{""Column_1"": ""float64"", ""Column_2"": ""float64"", ""Column_3"": ""float64""}",0,1906,False,True,False,False,False,False,False,False
Run_10.csv,133328,3,"[""Column_1"", ""Column_2"", ""Column_3""]","{""Column_1"": ""float64"", ""Column_2"": ""float64"", ""Column_3"": ""float64""}",0,783,False,True,False,False,False,False,False,False
Run_100.csv,133328,3,"[""Column_1"", ""Column_2"", ""Column_3""]","{""Column_1"": ""float64"", ""Column_2"": ""float64"", ""Column_3"": ""float64""}",0,7402,False,True,False,False,False,False,False,False
Run_101.csv,133328,3,"[""Column_1"", ""Column_2"", ""Column_3""]","{""Column_1"": ""float64"", ""Column_2"": ""float64"", ""Column_3"": ""float64""}",0,18155,False,True,False,False,False,False,False,False
Run_102.csv,133328,3,"[""Column_1"", ""Column_2"", ""Column_3""]","{""Column_1"": ""float64"", ""Column_2"": ""float64"", ""Column_3"": ""float64""}",0,2532,False,True,False,False,False,False,False,False
Run_103.csv,133328,3,"[""Column_1"", ""Column_2"", ""Column_3""]","{""Column_1"": ""float64"", ""Column_2"": ""float64"", ""Column_3"": ""float64""}",0,8160,False,True,False,False,False,False,False,False
Run_104.csv,133328,3,"[""Column_1"", ""Column_2"", ""Column_3""]","{""Column_1"": ""float64"", ""Column_2"": ""float64"", ""Column_3"": ""float64""}",0,3941,False,True,False,False,False,False,False,False
Run_105.csv,133328,3,"[""Column_1"", ""Column_2"", ""Column_3""]","{""Column_1"": ""float64"", ""Column_2"": ""float64"", ""Column_3"": ""float64""}",0,5120,False,True,False,False,False,False,False,False
Run_106.csv,133328,3,"[""Column_1"", ""Column_2"", ""Column_3""]","{""Column_1"": ""float64"", ""Column_2"": ""float64"", ""Column_3"": ""float64""}",0,9719,False,True,False,False,False,False,False,False
Run_107.csv,133328,3,"[""Column_1"", ""Column_2"", ""Column_3""]","{""Column_1"": ""float64"", ""Column_2"": ""float64"", ""Column_3"": ""float64""}",0,9125,False,True,False,False,False,False,False,False
Run_108.csv,133328,3,"[""Column_1"", ""Column_2"", ""Column_3""]","{""Column_1"": ""float64"", ""Column_2"": ""float64"", ""Column_3"": ""float64""}",0,8971,False,True,False,False,False,False,False,False
Run_109.csv,133328,3,"[""Column_1"", ""Column_2"", ""Column_3""]","{""Column_1"": ""float64"", ""Column_2"": ""float64"", ""Column_3"": ""float64""}",0,3470,False,True,False,False,False,False,False,False
Run_11.csv,133328,3,"[""Column_1"", ""Column_2"", ""Column_3""]","{""Column_1"": ""float64"", ""Column_2"": ""float64"", ""Column_3"": ""float64""}",0,631,False,True,False,False,False,False,False,False
Run_110.csv,122824,3,"[""Column_1"", ""Column_2"", ""Column_3""]","{""Column_1"": ""float64"", ""Column_2"": ""float64"", ""Column_3"": ""float64""}",0,2505,False,True,False,False,False,False,False,False
Run_111.csv,133328,3,"[""Column_1"", ""Column_2"", ""Column_3""]","{""Column_1"": ""float64"", ""Column_2"": ""float64"", ""Column_3"": ""float64""}",0,6990,False,True,False,False,False,False,False,False
