run_id,window_id,window_size,signal_length,mean_Signal_1,std_Signal_1,variance_Signal_1,rms_Signal_1,min_Signal_1,max_Signal_1,peak_to_peak_Signal_1,kurtosis_Signal_1,skewness_Signal_1,mean_Signal_2,std_Signal_2,variance_Signal_2,rms_Signal_2,min_Signal_2,max_Signal_2,peak_to_peak_Signal_2,kurtosis_Signal_2,skewness_Signal_2,mean_Signal_3,std_Signal_3,variance_Signal_3,rms_Signal_3,min_Signal_3,max_Signal_3,peak_to_peak_Signal_3,kurtosis_Signal_3,skewness_Signal_3
Run_1,0,1024,1024,0.021737067607421875,0.009555097971762759,9.129989724998481e-05,0.023744473155233706,-0.013428,0.050049,0.063477,0.10029220990282761,-0.1849807113769001,0.0002679174902343749,0.016830205615208763,0.00028325582105020455,0.016832337949072258,-0.051575,0.074768,0.126343,2.249918021802653,0.6945634427065785,2.3369803554687496,2.4245506466928624,5.878445838378777,3.367480218238204,0.021973,4.9475,4.925527,-1.9855718691015372,0.12224070930655499
Run_1,1,1024,1024,0.02126886624023437,0.013964692755609326,0.0001950126437585676,0.025443610492686553,-0.059357,0.068817,0.128174,4.4427633172202174,-0.5482855839326588,0.00035509794921875006,0.01641174280750133,0.0002693453019795716,0.01641558395346053,-0.059052,0.072327,0.131379,1.036423295640712,0.11119607778728414,2.3521685244140627,2.4255720024931784,5.883399539278768,3.3787714196913345,0.021973,4.95,4.928027,-1.9881717044756788,0.11018607950794977
Run_1,2,1024,1024,0.021085588779296876,0.011216463088972678,0.0001258090442262865,0.023883280729328136,-0.023956,0.061493,0.085449,1.101199414966783,0.16903615929519974,0.000290122451171875,0.016617576531556384,0.00027614384978213357,0.016620108929210047,-0.073853,0.067749,0.141602,1.503492790421494,0.057679460036451594,2.4440226689453124,2.4285943713096683,5.898070620357002,3.4454778226939107,-0.025635,4.9475,4.973135,-1.9989830878909096,0.033414363053028175
Run_1,3,1024,1024,0.02191067173828125,0.012278759495777806,0.00015076793475515363,0.025116637330221382,-0.011139,0.055389,0.066528,-0.4210425295684104,0.12830224129675336,0.001026533505859375,0.020200836907730033,0.0004080738117727079,0.020226902452213483,-0.10193,0.12054,0.22247,4.509532141745802,0.3825451941599298,2.4655840195312497,2.4293103232771296,5.901548646780832,3.461308019253517,0.021973,4.9463,4.924327,-1.9999501105708364,0.016343159209437574
Run_1,4,1024,1024,0.021335315517578127,0.008364405502698513,6.996327941357318e-05,0.022916347170702907,-0.017395,0.043182,0.060577,0.9104253555770292,-0.4693201787068826,0.0002996595703124998,0.014961686272025824,0.00022385205610252597,0.014964686831357541,-0.057831,0.069733,0.127564,1.3047609016197788,0.08802062373544102,2.437627686523437,2.42903150117075,5.900194033679826,3.441253081623819,0.021973,4.95,4.928027,-1.9987518016866166,0.03938549847917495
Run_1,5,1024,1024,0.02097293607421875,0.012431770961166762,0.0001545489292309092,0.02438058606359116,-0.050201,0.061951,0.112152,4.001133286851537,-0.5661715524161064,0.00027388262695312486,0.01673396459090356,0.00028002557092961407,0.016736205741534154,-0.068359,0.08255,0.15090900000000002,1.968106012835019,0.30508661120107744,2.3132791767578125,2.423729995840721,5.87446709273806,3.350481703033067,0.026855,4.9451,4.918245,-1.9812430884819525,0.14204174842149805
Run_1,6,1024,1024,0.021809786416015622,0.01272147147635166,0.00016183583652362886,0.025248814230293046,-0.02594,0.060272,0.086212,0.40066030123747387,0.02671632683755874,0.0006555102539062499,0.018623472291438976,0.00034683372018999526,0.018635005067962056,-0.088959,0.081024,0.169983,2.003079582803154,0.16187751714156204,2.3346598525390627,2.4245058641237964,5.878228685170677,3.3658379806859977,0.026855,4.95,4.923145,-1.985232665839439,0.12429311369386463
Run_1,7,1024,1024,0.021397477216796877,0.009300775543606449,8.650442571254783e-05,0.023331447810967264,-0.013885,0.065002,0.078887,0.6680240475010373,0.1534320317676175,0.00082984265625,0.01735242188534531,0.00030110654528701095,0.017372253282782375,-0.089569,0.095673,0.185242,5.367343913266017,-0.11364930262575765,2.4008764863281247,2.427545233976316,5.892975863001126,3.4142618185494222,0.025635,4.9512,4.925565,-1.9954169510478799,0.06971520409684502
Run_1,8,1024,1024,0.021173204960937497,0.008656370467530882,7.493274967114083e-05,0.02287438213349181,-0.0054932,0.042572,0.0480652,0.07803173234844518,-0.3775985554697723,0.0002643383593749998,0.015791367713940522,0.0002493672942768831,0.015793579994577547,-0.052338,0.069275,0.121613,1.7057537695320066,0.4052762885411155,2.4424509814453126,2.4284665947834445,5.897450001979099,3.4442730435815143,0.023193,4.9475,4.924307,-1.999044771282599,0.03493246225512934
Run_1,9,1024,1024,0.021390306083984376,0.008838478883101108,7.811870896702422e-05,0.023144414084905307,-0.0061035,0.050201,0.0563045,0.2015224236664217,0.13768557509176335,0.0004097795312500001,0.015343083154825582,0.00023541020069589255,0.015348554328018129,-0.059357,0.079498,0.138855,2.5674185718896094,0.2331886776974311,2.4520897265625,2.4288516096168347,5.899320141538288,3.4513858330606335,0.025635,4.9475,4.9218649999999995,-1.999426786237265,0.027383600877186727
Run_1,10,1024,1024,0.021513701923828125,0.014428743078041123,0.00020818862681211964,0.02590420809983285,-0.042267,0.068359,0.110626,1.8761862511381606,-0.31111412754934414,0.0002887771582031251,0.01914193625209454,0.00036641372347925123,0.01914411438866659,-0.061035,0.077972,0.139007,0.9824819281706465,0.3051062053596496,2.3865083271484373,2.4279515574288095,5.894948765220982,3.4044633587057174,0.020752,4.9512,4.930448,-1.9946702815418371,0.0814371370650203
